type,text
3,Unions representing workers at Turner   Newall say they are disappointed after talks with stricken parent firm Federal Mogul
4,SPACEcom  TORONTO Canada  A secondteam of rocketeers competing for the  3610 million Ansari X Prize a contest forprivately funded suborbital space flight has officially announced the firstlaunch date for its manned rocket
4,AP  A company founded by a chemistry researcher at the University of Louisville won a grant to develop a method of producing better peptides which are short chains of amino acids the building blocks of proteins
4,AP  Its barely dawn when Mike Fitzpatrick starts his shift with a blur of colorful maps figures and endless charts but already he knows what the day will bring Lightning will strike in places he expects Winds will pick up moist places will dry and flames will roar
4,AP  Southern Californias smogfighting agency went after emissions of the bovine variety Friday adopting the nations first rules to reduce air pollution from dairy cow manure
4,The British Department for Education and Skills DfES recently launched a Music Manifesto campaign with the ostensible intention of educating the next generation of British musicians Unfortunately they also teamed up with the music industry EMI and various artists to make this popular EMI has apparently negotiated their end well so that children in our schools will now be indoctrinated about the illegality of downloading musicThe ignorance and audacity of this got to me a little so I wrote an open letter to the DfES about it Unfortunately its pedantic as I suppose you have to be when writing to goverment representatives But I hope you find it useful and perhaps feel inspired to do something similar if or when the same thing has happened in your area
4,Sven Jaschan selfconfessed author of the Netsky and Sasser viruses isresponsible for 70 percent of virus infections in 2004 according to a sixmonthvirus roundup published Wednesday by antivirus company SophosThe 18yearold Jaschan was taken into custody in Germany in May by police whosaid he had admitted programming both the Netsky and Sasser worms somethingexperts at Microsoft confirmed A Microsoft antivirus reward program led to theteenagers arrest During the five months preceding Jaschans capture therewere at least 25 variants of Netsky and one of the portscanning network wormSasserGraham Cluley senior technology consultant at Sophos said it was staggeri 
4,FOAFLOAF  and bloom filters have a lot of interesting properties for socialnetwork and whitelist distributionI think we can go one level higher though and include GPGOpenPGP keyfingerpring distribution in the FOAF file for simple weboftrust based keydistributionWhat if we used FOAF and included the PGP key fingerprints for identitiesThis could mean a lot  You include the PGP key fingerprints within the FOAFfile of your direct friends and then include a bloom filter of the PGP keyfingerprints of your entire whitelist the source FOAF file would of course needto be encrypted Your whitelist would be populated from the social network as your clientdiscovered new identit 
4,Wiltshire Police warns about phishing after its fraud squad chief was targeted
4,In its first two years the UKs dedicated card fraud unit has recovered 36000 stolen cards and 171 arrests  and estimates it saved 65m
4, LOS ANGELES Reuters  A group of technology companies  including Texas Instruments Inc ltTXNNgt STMicroelectronics  ltSTMPAgt and Broadcom Corp ltBRCMOgt on Thursday said they  will propose a new wireless networking standard up to 10 times  the speed of the current generation
4, LOS ANGELES Reuters  Apple Computer IncltAAPLOgt on  Tuesday began shipping a new program designed to let users  create realtime motion graphics and unveiled a discount  videoediting software bundle featuring its flagship Final Cut  Pro software
4, AMSTERDAM Reuters  Free Record Shop a Dutch music  retail chain beat Apple Computer Inc to market on Tuesday  with the launch of a new download service in Europes latest  battleground for digital song services
4,A giant 100km colony of ants  which has been discovered in Melbourne Australia could threaten local insect species
4,Dolphin groups or pods rely on socialites to keep them from collapsing scientists claim
4,Tyrannosaurus rex achieved its massive size due to an enormous growth spurt during its adolescent years
4,Jet Propulsion Lab  Scientists have discovered irregular lumps beneath the icy surface of Jupiters largest moon Ganymede These irregular masses may be rock formations supported by Ganymedes icy shell for billions of years
4,European Space Agency  ESAs Mars Express has relayed pictures from one of NASAs Mars rovers for the first time as part of a set of interplanetary networking demonstrations     The demonstrations pave the way for future Mars missions to draw on joint interplanetary networking capabilities
4,When did life begin One evidential clue stems from the fossil records in Western Australia although whether these layered sediments are biological or chemical has spawned a spirited debate Oxford researcher Nicola McLoughlin describes some of the issues in contention
4,update Earnings per share rise compared with a year ago but company misses analysts expectations by a long shot
4,By the end of the year the computing giant plans to have its biggest headcount since 1991
4,Developers get early code for new operating system skin still being crafted
4,New technology applies electrical fuses to help identify and repair faults
4,Google has billed its IPO as a way for everyday people to get in on the process denying Wall Street the usual stranglehold its had on IPOs Public bidding a minimum of just five shares an open process with 28 underwriters  all this pointed to a new level of public participation But this isnt the case
4,By MICHAEL LIEDTKE     SAN FRANCISCO AP  With its low prices and iconoclastic attitude discount stock broker Charles Schwab Corp SCH represented an annoying stone in Wall Streets wingtipped shoes for decades
4,Industry cyber security standards fail to reach some of the most vulnerable components of the power grid
2,Michael Phelps won the gold medal in the 400 individual medley and set a world record in a time of 4 minutes 826 seconds
